P226=198.4155,-18.8685,26.3889,-7.3705,-120.3318,;
P227=195.7750,-20.6204,23.3197,-9.6314,-120.3318,;
P228=193.1345,-22.3724,20.2505,-11.8924,-120.3318,;
P229=190.4940,-24.1243,17.1813,-14.1533,-120.3318,;
P230=187.8534,-25.8762,14.1121,-16.4143,-120.3318,;
P231=185.2129,-27.6282,11.0429,-18.6752,-120.3318,;
P232=182.5724,-29.3801,7.9737,-20.9362,-120.3318,;
P233=179.9319,-31.1321,4.9045,-23.1971,-120.3318,;
P234=177.2913,-32.8840,1.8353,-25.4581,-120.3318,;
P235=174.6508,-34.6360,-1.2339,-27.7190,-120.3318,;
P236=172.0103,-36.3879,-4.3031,-29.9800,-120.3318,;
P237=169.3698,-38.1399,-7.3723,-32.2409,-120.3318,;
P238=166.7293,-39.8918,-10.4415,-34.5018,-120.3318,;
P239=164.0887,-41.6438,-13.5107,-36.7628,-120.3318,;
P240=161.4482,-43.3957,-16.5799,-39.0237,-120.3318,;
P241=158.8077,-45.1477,-19.6491,-41.2847,-120.3318,;
P242=156.1672,-46.8996,-22.7183,-43.5456,-120.3318,;
P243=153.5267,-48.6515,-25.7875,-45.8066,-120.3318,;
P244=150.8861,-50.4035,-28.8567,-48.0675,-120.3318,;
P245=148.2456,-52.1554,-31.9259,-50.3285,-120.3318,;
P246=145.6051,-53.9074,-34.9951,-52.5894,-120.3318,;
P247=142.9646,-55.6593,-38.0643,-54.8503,-120.3318,;
P248=140.3241,-57.4113,-41.1335,-57.1113,-120.3318,;
P249=137.6835,-59.1632,-44.2027,-59.3722,-120.3318,;
P250=135.0430,-60.9152,-47.2719,-61.6332,-120.3318,;
P251=132.4025,-62.6671,-50.3411,-63.8941,-120.3318,;
P252=129.7620,-64.4191,-53.4103,-66.1551,-120.3318,;
P253=127.1214,-66.1710,-56.4795,-68.4160,-120.3318,;
P254=124.4809,-67.9230,-59.5487,-70.6770,-120.3318,;
P255=121.8404,-69.6749,-62.6179,-72.9379,-120.3318,;
P256=119.1999,-71.4268,-65.6871,-75.1989,-120.3318,;
P257=116.5594,-73.1788,-68.7563,-77.4598,-120.3318,;
P258=113.9188,-74.9307,-71.8255,-79.7207,-120.3318,;
P259=111.2783,-76.6827,-74.8946,-81.9817,-120.3318,;
